nome;periodo;categoria;dificuldade;Creditos;HoraAula;HoraRelogio;QtdTeorica;QtdPratica;Ementa
Introdução à Administração;1;humanas;2.5;4;72;60;30;30;As atividades do processo administrativo: Planejamento, organização, direção e controle. A relação entre níveis organizacionais, processo decisório e sistemas de informação, Visão geral das funções empresariais básicas: marketing, finanças e contabilidade, produção e logística, recursos humanos. Os conceitos, níveis e tipos de decisão nas organizações. Os estágios do processo decisório. Os modelos individuais e organizacionais de tomada de decisão. Teorias,  metodologias, técnicas e ferramentas aplicáveis à análise de decisões. Gestão de Processos.
Introdução à Computação;1;programacao;2.7;4;72;60;30;30;Histórico e visão geral da computação. Hardware e software. Componentes de um computador: Processador, Memória (Hierarquia), Entrada e Saída e Barramento. Representação e processamento da informação. Classificação dos softwares. Sistemas numéricos e conversões.  Aritmética Binária. Sistemas de Codificação. Visão geral da informática: engenharia de software, banco de dados, redes de computadores, inteligência artificial, sistemas operacionais e interfaces homem-máquina. Tecnologias e aplicações dos computadores. Lixo eletrônico.
Fundamentos de Programação;1;programacao;3.6;8;144;120;60;60;Noções de lógica. Conceitos de algoritmo, linguagem de programação e programa. O processo de desenvolvimento de algoritmos e programas. Representações gráficas e textuais de  algoritmos.Conceitos de tipos de dados, constantes, variáveis, operadores (aritméticos,  relacionais e lógicos), expressões, atribuição, comandos de entrada e saída, estruturas de controle (seqüencial, seletiva e repetitiva). Implementação de algoritmos em uma linguagem de programação. Estruturas de dados básicas: vetores e matrizes.
Lógica Matemática;1;exatas;0.7;4;72;60;15;45;Lógica Proposicional. Proposições e conectivos. Operações lógicas sobre proposições. Tabela Verdade. Tautologias, contradições e contingências. Implicação Lógica. Equivalências lógicas notáveis. Álgebra de Proposições. Proposições associadas a um condicional.Argumentos. Validação de argumentos. Demonstração condicional e demonstração indireta. Sentenças abertas. Quantificadores. Validação de fórmulas da lógica proposicional. Lógicade Predicados.
Matemática Discreta;1;exatas;2.2;4;72;60;30;30;Conjuntos: operações entre conjuntos, conjuntos numéricos e intervalos reais. A linguagem das funções na modelagem de problemas. Características gerais das funções: estudo do sinal, variação, paridade. Análise Combinatória. Técnicas de Demonstração. Indução Matemática
Português Instrumental;1;humanas;1.2;3;54;45;25;20;Organização micro e macroestrutural do texto: coesão e coerência textuais. Teoria da comunicação. Diretrizes para leitura, análise e interpretação de textos. Tipologia textual. Redação científica. O texto dissertativo e a sua estrutura
praticas de linguagem de programacao;0;programacao;2.7;;;;;;
Arquitetura e Organização de Computadores;2;teoria;1.6;4;72;60;30;30;Organização básica de Computadores e seus principais componentes. Unidade Central de Processamento. Unidade Lógica e Aritmética. Instruções e linguagem de máquina. Modos de endereçamento. Mecanismos de interrupção. Interface de entrada e saída. Sistemas de memória, hierarquia de memória e memória Cache. Sequenciamento de sinais em arquiteta de Computadores e unidade de controle. Pipeline de instruções. Arquiteturas RISC e CISC. Arquiteturas de baixo consumo de energia. Paralelismo em nível de instruções e processadores superescalares. Aritmética para computadores. Introdução Arquiteturas Paralelas. Introdução a Virtualização.
Cálculo I;2;exatas;1.5;6;108;90;45;45;Funções de uma variável real, Limites e continuidade, Derivadas, Regras dederivação, Aplicações das derivadas, Integrais, Técnicas de Integração, Integral Definida,Aplicações da Integral Definida.
Engenharia de Software;3;teoria;2.4;4;72;60;40;20;Definição e objetivos da Engenharia de Software. Diferença entre Engenharia de Software e outras Engenharias. Definição de processo de software. Ciclos de vida de software. Processos de desenvolvimento de software. Gerenciamento e Engenharia de Requisitos. Introdução aos conceitos fundamentais de análise, arquitetura, design, construção, testes e manutenção de software.
